Original,65.5,66.8,68,70,71.7,73.8,76.1,78.8,80.5,81.3,82.1,82.8,83,83.2,84.2,85.2,8000
,65,66.4,67.7,69.8,71.6,73.8,76.1,78.4,79.8,80.5,81.3,82,82.6,83.2,84.2,85.2,7600
,64.4,65.9,67.2,69.4,71.3,73.6,76.1,78,79.1,79.8,80.4,81.1,82.1,83.2,84.2,85.2,7200
,63.9,65.4,66.6,68.8,71.1,73.5,76.1,77.7,78.4,79,79.6,80.3,81.8,83.2,84.2,85.2,6800
,62.8,64.4,65.9,68.2,70.7,73.2,75.9,77.2,77.7,78.3,78.8,79.5,81.3,83.2,84.2,85.2,6400
,61.8,63.6,65.1,67.6,70.3,72.9,75.6,76.8,77.1,77.5,77.9,78.6,80.9,83.2,84.2,85.2,6000
,60.7,62.6,64.4,67,69.7,72.2,74.9,76.1,76.4,76.8,77.1,77.8,80.1,82.3,84.1,84.9,5600
,59.2,61.8,63.8,66.6,69.2,71.6,74.1,75.3,75.7,76,76.3,77,79.7,81.5,83.2,84.6,5200
,57.6,60.8,62.9,65.8,68.2,70.3,73.1,74.5,75,75.3,75.4,76.1,78.3,80.8,82.4,83.9,4800
,55.4,59.8,61.8,65.1,67.5,69.3,72,73.6,74.3,74.5,74.6,75.3,77.5,79.5,81.1,82.9,4400
,52.1,58.3,60.8,63.9,66.1,68.2,70.4,72,72.8,73.7,73.8,74.5,76,78.5,80.2,81.9,4000
,48.8,55.6,58.7,62.2,65,67.3,68.9,71,71.5,72.2,72.6,72.8,74.4,77,78.8,80.9,3600
,46.4,52.5,57,60.6,63.5,65.8,67.3,69.3,70.2,70.8,71.3,71.5,73,75.7,77.7,79.9,3200
,43.7,49.4,55.2,59.1,62.1,64.2,65.7,67.5,68.2,68.5,69.1,69.6,71.4,74.2,76.2,78.5,2800
,43.3,48,53,57.1,60.7,62.8,64.5,65.7,66.2,66.5,66.7,67.1,69.2,72.3,74.5,76.9,2400
,42.8,46.7,50.9,55,59,61.3,62.1,63,63.4,63.9,64.2,65.1,67.3,70.5,72.7,75.2,2000
,42.4,45.3,48.8,52.5,56.2,58.1,59.2,59.9,60.7,61.7,62.7,63.4,65.6,68.7,71.1,73.7,1600
,41.1,43,46.6,49.2,51.8,53.7,54.6,55.8,57.1,58.7,59.9,61,63.4,66.8,69.3,72,1200
,40.7,42.2,45.1,46.9,48.7,50.8,52,53.5,54.8,56.4,57.8,58.9,61.5,65,67.6,70.4,800
,40.2,40.6,43.6,44.5,45.4,47.5,49.9,51.5,52.8,54.4,55.8,57.1,59.5,63,65.5,68.2,400
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Claude Generated,65.5,66.8,68,70,71.7,73.8,76.1,78.8,80.5,81.3,82.1,82.8,83,83.2,84.2,85.2,8000
,65,66.4,67.7,69.8,71.6,73.8,76.1,78.4,79.8,80.5,81.3,82,82.6,83.2,84.2,85.2,7600
,64.4,65.9,67.2,69.4,71.3,73.6,76.1,78,79.1,79.8,80.4,81.1,82.1,83.2,84.2,85.2,7200
,63.9,65.4,66.6,68.8,71.1,73.5,76.1,77.7,78.4,79,79.6,80.3,81.8,83.2,84.2,85.2,6800
,62.8,64.4,65.9,68.2,70.7,73.2,75.9,77.2,77.7,80.6,82.9,81.2,81.2,83.2,84.2,85.2,6400
,61.8,63.6,65.1,67.6,70.3,72.9,75.6,76.8,77.1,80.2,82.8,82.2,81.6,82.4,84.2,85.2,6000
,60.7,62.6,64.4,67,69.7,72.2,74.9,76.1,79.8,83.1,82.4,82,81,81.6,84.1,84.9,5600
,59.2,61.8,63.8,66.6,69.2,71.6,74.1,75.3,75.7,78.9,81.8,81.4,80.6,81,83.2,84.6,5200
,57.6,60.8,62.9,65.8,68.2,70.3,73.1,74.5,77.7,80.4,80.4,80.4,79.4,80.1,82.4,83.9,4800
,55.4,59.8,61.8,65.1,67.5,69.3,72,76.4,79.1,79.9,79.8,77.6,77.6,79.5,81.1,82.9,4400
,52.1,59.7,61.5,62.7,64.4,68.2,74.2,78.1,78.5,79,76.4,75.4,76,78.5,80.2,81.9,4000
,48.8,59.4,61.5,65.2,65.1,66.2,73.2,77.4,74.4,73.3,72.6,72.8,74.4,77,78.8,80.9,3600
,46.4,55.6,60.8,65.1,64.3,65,67.3,69.3,70.2,70.8,71.3,71.5,73,75.7,77.7,79.9,3200
,45.1,48.3,54.4,61.8,62,63.1,65.7,67.5,68.2,68.5,69.1,69.6,71.4,74.2,76.2,78.5,2800
,45.9,50,54.9,62.4,61.6,62.2,64.5,65.7,66.2,66.5,66.7,67.1,69.2,72.3,74.5,76.9,2400
,42.8,50.9,56.1,62.2,63.8,62.6,62.4,63,63.4,63.9,64.2,65.1,67.3,70.5,72.7,75.2,2000
,42.4,50.5,55.7,58.9,63.1,65.2,62.2,61,60.7,61.7,62.7,63.4,65.6,68.7,71.1,73.7,1600
